row_id,subject_id,subject,profession_en,profession_tr,birthplace_en,birthplace_tr,residence_en,residence_tr,field_of_study_en,field_of_study_tr,works_in_industry_en,works_in_industry_tr,name_type,name_rarity_bucket,popularity_rank,popularity_bucket,profession_frequency_bucket,birthplace_frequency_bucket,residence_frequency_bucket,field_of_study_frequency_bucket,works_in_industry_frequency_bucket,branch_group
R01062,S01062,Tansu Kireççi,Voice actor,Seslendirme sanatçısı,Istanbul,İstanbul,Kahramanmaras,Kahramanmaraş,geography,coğrafya,farming,tarım,turkish_like,medium,3584,low,low,low,low,low,low,A
R01063,S01063,Ahmet Bozoğlan,Politician,Politikacı,Louisville/Jefferson County,Louisville/Jefferson County,Long Beach,Long Beach,architecture,mimarlık,farming,tarım,turkish_like,common,1056,medium,medium,low,low,medium,medium,A
R01064,S01064,Aydın Aytekin,Real estate agent,Emlak danışmanı,Manisa,Manisa,Istanbul,İstanbul,governance,kamu,retail,perakende,turkish_like,common,1961,medium,medium,low,low,medium,medium,A
R01065,S01065,Beilul Dunn,Racing driver,Otomobil yarışçısı,Kahramanmaras,Kahramanmaraş,Mersin,Mersin,literature,edebiyat,insurance,sigorta,english_like,common,733,medium,medium,low,low,medium,medium,A
R01066,S01066,Handan Korkmaz,YouTuber,YouTuber,Jersey City,Jersey City,Denver,Denver,chemistry,kimya,banking,finans,turkish_like,common,866,medium,medium,low,low,medium,medium,A
R01067,S01067,Tiffani Hollis,Project manager,Proje yöneticisi,Henderson,Henderson,Milwaukee,Milwaukee,music,müzik,catering,yemek,english_like,rare,4142,low,low,low,low,low,low,B
R01068,S01068,Marchelle Calhoun,Bartender,Barmen,Jacksonville,Jacksonville,Los Angeles,Los Angeles,social care,bakım,banking,finans,english_like,medium,4523,low,low,low,low,low,low,B
R01069,S01069,Abdulkadir Kireççi,Gardener,Bahçıvan,Aurora,Aurora,Chicago,Chicago,history,tarih,property,emlak,turkish_like,medium,4694,low,low,low,low,low,low,A
R01070,S01070,Kenan Acarbulut,Software engineer,Yazılım mühendisi,Ankara,Ankara,Hatay,Hatay,dental studies,diş,entertainment,eğlence,turkish_like,common,2227,low,low,low,low,low,low,B
R01071,S01071,Leeann Nelson,Physiotherapist,Fizyoterapist,Eskisehir,Eskişehir,Gaziantep,Gaziantep,animal care,hayvan,advertising,reklam,english_like,medium,784,medium,medium,low,low,medium,medium,B
R01072,S01072,Arabel Dalton,Laboratory technician,Laboratuvar teknisyeni,St. Louis,St. Louis,Columbus,Columbus,electricity,elektrik,law,hukuk,english_like,common,3756,low,low,low,low,low,low,B
R01073,S01073,Cumhur Yeniçeri,Lawyer,Avukat,New York,New York,Raleigh,Raleigh,communication,medya,engineering,teknik,turkish_like,medium,295,high,high,medium,medium,high,high,B
R01074,S01074,Berty Robbins,YouTuber,YouTuber,Virginia Beach,Virginia Beach,Tampa,Tampa,statistics,istatistik,research,bilim,english_like,common,622,medium,medium,low,low,medium,medium,A
R01075,S01075,Nagihan Kavmaz,Makeup artist,Makyaj sanatçısı,Afyonkarahisar,Afyonkarahisar,Istanbul,İstanbul,architecture,mimarlık,media,medya,turkish_like,medium,2724,low,low,low,low,low,low,A
R01076,S01076,Consuela Cunningham,Video game developer,Video oyunu geliştiricisi,Istanbul,İstanbul,Kahramanmaras,Kahramanmaraş,diplomacy,diplomasi,textiles,tekstil,english_like,common,3087,low,low,low,low,low,low,A
R01077,S01077,Clo Adkins,Translator,Çevirmen,Charlotte,Charlotte,Sacramento,Sacramento,theatre,tiyatro,maritime,deniz,english_like,common,3830,low,low,low,low,low,low,A
R01078,S01078,Noreen Hicks,Television presenter,Televizyon sunucusu,New Orleans,New Orleans,Colorado Springs,Colorado Springs,marketing,pazarlama,waste,atık,english_like,medium,224,high,high,medium,medium,high,high,A
R01079,S01079,Hasret İnan,Civil servant,Devlet memuru,San Jose,San Jose,Baton Rouge,Baton Rouge,history,tarih,architecture,mimarlık,turkish_like,rare,3701,low,low,low,low,low,low,B
R01080,S01080,Ersin Suzan,Journalist,Gazeteci,Buffalo,Buffalo,Orlando,Orlando,agriculture,tarım,accounting,muhasebe,turkish_like,rare,1649,medium,medium,low,low,medium,medium,A
R01081,S01081,Averyl Cuevas,Surgeon,Cerrah,Fort Worth,Fort Worth,Atlanta,Atlanta,economics,ekonomi,academia,akademi,english_like,medium,1322,medium,medium,low,low,medium,medium,A
R01082,S01082,Ufuk Turan,Electrician,Elektrikçi,Fort Wayne,Fort Wayne,Greensboro,Greensboro,biology,biyoloji,tourism,turizm,turkish_like,medium,4250,low,low,low,low,low,low,A
R01083,S01083,Leyla Demirtaş,Real estate agent,Emlak danışmanı,Omaha,Omaha,Houston,Houston,fiscal studies,maliye,biotech,biyoloji,turkish_like,medium,1221,medium,medium,low,low,medium,medium,A
R01084,S01084,Colene Kerns,Courier,Kurye,Louisville/Jefferson County,Louisville/Jefferson County,Lexington-Fayette,Lexington-Fayette,management,yönetim,automotive,otomotiv,english_like,rare,4506,low,low,low,low,low,low,A
R01085,S01085,Cengiz Kayayurt,Company executive (CEO),Şirket yöneticisi (CEO),Antalya,Antalya,Samsun,Samsun,communication,medya,security,güvenlik,turkish_like,common,1170,medium,medium,low,low,medium,medium,B
R01086,S01086,Bobbe Combs,Warehouse manager,Depo yöneticisi,Manisa,Manisa,Tekirdag,Tekirdağ,anthropology,antropoloji,software,teknoloji,english_like,common,2594,low,low,low,low,low,low,A
R01087,S01087,Şahinde Develi,Sales representative,Satış temsilcisi,Samsun,Samsun,Bursa,Bursa,anthropology,antropoloji,catering,yemek,turkish_like,rare,4172,low,low,low,low,low,low,B
R01088,S01088,Yücel İlgün,Music producer,Müzik yapımcısı,Milwaukee,Milwaukee,New York,New York,design,dizayn,construction,inşaat,turkish_like,common,1994,medium,medium,low,low,medium,medium,B
R01089,S01089,Ferhan Alben,Dancer,Dansçı,Konya,Konya,Adana,Adana,business,işletme,chemicals,kimya,turkish_like,rare,1270,medium,medium,low,low,medium,medium,A
R01090,S01090,Loreen Meadows,Management consultant,Yönetim danışmanı,Malatya,Malatya,Denizli,Denizli,cultural analysis,sosyal,research,bilim,english_like,medium,3751,low,low,low,low,low,low,B
R01091,S01091,Turğut Bolattürk,Politician,Politikacı,Lexington-Fayette,Lexington-Fayette,Fort Worth,Fort Worth,geography,coğrafya,welfare,refah,turkish_like,rare,990,medium,medium,low,low,medium,medium,A
R01092,S01092,Barış Cömert,Radio presenter,Radyo sunucusu,Philadelphia,Philadelphia,Hialeah,Hialeah,accounting,muhasebe,airlines,uçuş,turkish_like,common,2078,low,low,low,low,low,low,B
R01093,S01093,Erdem Zubaroğlu,Physicist,Fizikçi,Corpus Christi,Corpus Christi,Colorado Springs,Colorado Springs,teaching,didaktik,biotech,biyoloji,turkish_like,rare,2669,low,low,low,low,low,low,B
R01094,S01094,Kristy Singer,Model,Model,Eskisehir,Eskişehir,Van,Van,software,programlama,textiles,tekstil,english_like,rare,80,high,high,medium,medium,high,high,B
R01095,S01095,Canan Kayaoğlu,Cashier,Kasiyer,San Diego,San Diego,Bursa,Bursa,theatre,tiyatro,healthcare,tıp,turkish_like,rare,3996,low,low,low,low,low,low,A
R01096,S01096,Emelyne Merritt,Geologist,Jeolog,St. Louis,St. Louis,Long Beach,Long Beach,accounting,muhasebe,government,kamu,english_like,medium,4339,low,low,low,low,low,low,A
R01097,S01097,Krissie Glass,Model,Model,Kansas City,Kansas City,Sanliurfa,Şanlıurfa,biology,biyoloji,entertainment,eğlence,english_like,medium,1109,medium,medium,low,low,medium,medium,B
R01098,S01098,Uysan Erginel,Judge,Hâkim,New York,New York,San Antonio,San Antonio,quantitative methods,matematik,hotels,otel,turkish_like,medium,2694,low,low,low,low,low,low,B
R01099,S01099,Quinn Castro,Music producer,Müzik yapımcısı,Denver,Denver,San Jose,San Jose,economics,ekonomi,government,kamu,english_like,medium,2199,low,low,low,low,low,low,B
R01100,S01100,Şermin Uyğun,Comedian,Komedyen,Balikesir,Balıkesir,Istanbul,İstanbul,exercise science,hareket,tourism,turizm,turkish_like,medium,904,medium,medium,low,low,medium,medium,A
R01101,S01101,Özgül Gülşan,Anthropologist,Antropolog,Ankara,Ankara,Eskisehir,Eskişehir,psychology,psikoloji,gaming,oyun,turkish_like,medium,3088,low,low,low,low,low,low,B
R01102,S01102,Miray Dumlu,Television presenter,Televizyon sunucusu,Mersin,Mersin,Kocaeli,Kocaeli,music,müzik,energy,enerji,turkish_like,common,579,medium,medium,low,low,medium,medium,A
R01103,S01103,Bertine Mcbride,Mobile application developer,Mobil uygulama geliştiricisi,Milwaukee,Milwaukee,Riverside,Riverside,tourism,turizm,advertising,reklam,english_like,common,3814,low,low,low,low,low,low,A
R01104,S01104,Özden Okur,Journalist,Gazeteci,Aydin,Aydın,Istanbul,İstanbul,quantitative methods,matematik,insurance,sigorta,turkish_like,medium,1020,medium,medium,low,low,medium,medium,B
R01105,S01105,Deny Prather,Sports commentator,Spor yorumcusu,Raleigh,Raleigh,Fort Worth,Fort Worth,geography,coğrafya,tourism,turizm,english_like,rare,830,medium,medium,low,low,medium,medium,B
R01106,S01106,Güliz Karaağaç,Gardener,Bahçıvan,Izmir,İzmir,Istanbul,İstanbul,pharmacy,ilaç,software,teknoloji,turkish_like,rare,4300,low,low,low,low,low,low,B
R01107,S01107,Marcella Fink,Electrical and electronics engineer,Elektrik-elektronik mühendisi,Ankara,Ankara,Wichita,Wichita,biology,biyoloji,accounting,muhasebe,english_like,medium,1490,medium,medium,low,low,medium,medium,B
R01108,S01108,Sertaç Ahıskalı,Singer,Şarkıcı,Trabzon,Trabzon,Kayseri,Kayseri,accounting,muhasebe,consulting,strateji,turkish_like,rare,1061,medium,medium,low,low,medium,medium,A
R01109,S01109,Sebahat Kaplan,Social media influencer,Sosyal medya fenomeni,Detroit,Detroit,Istanbul,İstanbul,politics,siyaset,trade,ticaret,turkish_like,common,584,medium,medium,low,low,medium,medium,A
R01110,S01110,Tuba Önvermez,Mechanical engineer,Makine mühendisi,Ankara,Ankara,Trabzon,Trabzon,accounting,muhasebe,engineering,teknik,turkish_like,common,641,medium,medium,low,low,medium,medium,B
R01111,S01111,Marchelle Humphrey,Tour guide,Turist rehberi,Izmir,İzmir,Antalya,Antalya,software,programlama,consulting,strateji,english_like,medium,2195,low,low,low,low,low,low,A
R01112,S01112,Nazan Nurlu,Musician,Müzisyen,Bursa,Bursa,Ordu,Ordu,management,yönetim,government,kamu,turkish_like,rare,260,high,high,medium,medium,high,high,A
R01113,S01113,Gökmen Gözkaya,Dishwasher,Bulaşıkçı,Detroit,Detroit,Bakersfield,Bakersfield,law,hukuk,farming,tarım,turkish_like,common,4454,low,low,low,low,low,low,A
R01114,S01114,Cati Terrell,Civil servant,Devlet memuru,San Antonio,San Antonio,Louisville/Jefferson County,Louisville/Jefferson County,law,hukuk,textiles,tekstil,english_like,medium,2109,low,low,low,low,low,low,A
R01115,S01115,Semih Esmeray,Mobile application developer,Mobil uygulama geliştiricisi,Virginia Beach,Virginia Beach,Tucson,Tucson,anthropology,antropoloji,hotels,otel,turkish_like,medium,3936,low,low,low,low,low,low,B
R01116,S01116,Gözde Karaalp,Translator,Çevirmen,Sakarya,Sakarya,Malatya,Malatya,geography,coğrafya,catering,yemek,turkish_like,medium,3765,low,low,low,low,low,low,B
R01117,S01117,Raquela Rangel,Chemist,Kimyager,Mersin,Mersin,Diyarbakir,Diyarbakır,tourism,turizm,arts,sanat,english_like,rare,3781,low,low,low,low,low,low,A
R01118,S01118,Linda Washington,Software engineer,Yazılım mühendisi,Ankara,Ankara,Kahramanmaras,Kahramanmaraş,linguistics,dilbilim,law,hukuk,english_like,medium,703,medium,medium,low,low,medium,medium,A
R01119,S01119,Billy Reilly,Urban planner,Şehir plancısı,Hatay,Hatay,Sakarya,Sakarya,diplomacy,diplomasi,infrastructure,altyapı,english_like,medium,3226,low,low,low,low,low,low,A
R01120,S01120,Rachelle Christopher,Economist,Ekonomist,Fort Worth,Fort Worth,Izmir,İzmir,physics,fizik,farming,tarım,english_like,rare,3269,low,low,low,low,low,low,A
R01121,S01121,Ertan Karakum,Social media manager,Sosyal medya yöneticisi,Adana,Adana,Sakarya,Sakarya,nursing,hemşirelik,construction,inşaat,turkish_like,medium,3540,low,low,low,low,low,low,A
R01122,S01122,Austina Whitten,Therapist,Terapist,Antalya,Antalya,Adana,Adana,linguistics,dilbilim,groceries,gıda,english_like,medium,3071,low,low,low,low,low,low,B
R01123,S01123,Serap Gümüşçü,Music producer,Müzik yapımcısı,Mersin,Mersin,Chandler,Chandler,dental studies,diş,fashion,moda,turkish_like,rare,3398,low,low,low,low,low,low,A
R01124,S01124,Augustina Boyce,Content creator,İçerik üreticisi,Memphis,Memphis,San Jose,San Jose,music,müzik,timber,orman,english_like,medium,2805,low,low,low,low,low,low,B
R01125,S01125,Mela Hairston,Politician,Politikacı,Hatay,Hatay,Samsun,Samsun,psychology,psikoloji,waste,atık,english_like,rare,770,medium,medium,low,low,medium,medium,B
R01126,S01126,Viviene Guzman,Company executive (CEO),Şirket yöneticisi (CEO),Los Angeles,Los Angeles,Arlington,Arlington,marketing,pazarlama,media,medya,english_like,rare,332,high,high,medium,medium,high,high,B
R01127,S01127,Licha Ritchie,Software engineer,Yazılım mühendisi,Anaheim,Anaheim,Long Beach,Long Beach,governance,kamu,recreation,egzersiz,english_like,medium,498,high,high,medium,medium,high,high,B
R01128,S01128,Asia Bowman,Bartender,Barmen,Hatay,Hatay,Konya,Konya,literature,edebiyat,space,uzay,english_like,common,2796,low,low,low,low,low,low,B
R01129,S01129,Tamma Howard,Judge,Hâkim,Mugla,Muğla,Izmir,İzmir,agriculture,tarım,logistics,lojistik,english_like,medium,2220,low,low,low,low,low,low,B
R01130,S01130,Mattie Lyons,Psychiatrist,Psikiyatrist,Los Angeles,Los Angeles,Houston,Houston,logistics,lojistik,extraction,maden,english_like,medium,3442,low,low,low,low,low,low,A
R01131,S01131,Lilia Hayden,Purchasing specialist,Satın alma uzmanı,Konya,Konya,Antalya,Antalya,media studies,basın,investment,yatirim,english_like,medium,4269,low,low,low,low,low,low,A
R01132,S01132,Coleen Dickerson,Social media influencer,Sosyal medya fenomeni,Balikesir,Balıkesir,Sakarya,Sakarya,history,tarih,infrastructure,altyapı,english_like,common,188,high,high,medium,medium,high,high,B
R01133,S01133,Hatice Kutluyurdu,Musician,Müzisyen,Sanliurfa,Şanlıurfa,Phoenix,Phoenix,statistics,istatistik,electrical,elektrik,turkish_like,common,1392,medium,medium,low,low,medium,medium,A
R01134,S01134,Turan Elmaağaç,Entrepreneur,Girişimci,Antalya,Antalya,Gilbert,Gilbert,architecture,mimarlık,airlines,uçuş,turkish_like,rare,1410,medium,medium,low,low,medium,medium,B
R01135,S01135,Odette Marin,Fashion designer,Moda tasarımcısı,Antalya,Antalya,Istanbul,İstanbul,forestry,ormanlar,law,hukuk,english_like,rare,376,high,high,medium,medium,high,high,A
R01136,S01136,Selçuk İvacık,Chef,Şef aşçı,Istanbul,İstanbul,Izmir,İzmir,cultural analysis,sosyal,welfare,refah,turkish_like,medium,231,high,high,medium,medium,high,high,A
R01137,S01137,Clementina Geiger,Physiotherapist,Fizyoterapist,Colorado Springs,Colorado Springs,Wichita,Wichita,agriculture,tarım,energy,enerji,english_like,rare,597,medium,medium,low,low,medium,medium,B
R01138,S01138,Corina Lucero,Occupational therapist,Ergoterapist,Reno,Reno,Norfolk,Norfolk,computing,bilişim,pharmaceuticals,ilaç,english_like,medium,4697,low,low,low,low,low,low,B
R01139,S01139,Tuba Kesim,Assembly line worker,Montaj işçisi,Adana,Adana,Istanbul,İstanbul,software,programlama,software,teknoloji,turkish_like,common,4266,low,low,low,low,low,low,B
R01140,S01140,Murat Durman,Voice actor,Seslendirme sanatçısı,New York,New York,Chicago,Chicago,ecology,ekoloji,groceries,gıda,turkish_like,medium,2490,low,low,low,low,low,low,B
R01141,S01141,Barbabra Koch,Roofer,Çatı ustası,Ordu,Ordu,Balikesir,Balıkesir,nursing,hemşirelik,engineering,teknik,english_like,medium,4974,low,low,low,low,low,low,B
R01142,S01142,Serap Yenigün,Prosecutor,Savcı,Adana,Adana,Istanbul,İstanbul,film studies,sinema,insurance,sigorta,turkish_like,medium,2198,low,low,low,low,low,low,B
R01143,S01143,Aretha Egan,Video game developer,Video oyunu geliştiricisi,Tulsa,Tulsa,Austin,Austin,chemistry,kimya,media,medya,english_like,medium,1338,medium,medium,low,low,medium,medium,B
R01144,S01144,Ranique Finch,Academic,Akademisyen,Sakarya,Sakarya,Gaziantep,Gaziantep,statistics,istatistik,fabrication,imalat,english_like,rare,3990,low,low,low,low,low,low,B
R01145,S01145,Mellicent Guthrie,Plumber,Tesisatçı,Buffalo,Buffalo,Philadelphia,Philadelphia,archaeology,arkeoloji,healthcare,tıp,english_like,medium,4952,low,low,low,low,low,low,A
R01146,S01146,Blythe Marks,Investment banker,Yatırım bankacısı,Kocaeli,Kocaeli,Adana,Adana,chemistry,kimya,pharmaceuticals,ilaç,english_like,common,2826,low,low,low,low,low,low,A
R01147,S01147,Günay Tanrıkulu,Construction worker,İnşaat işçisi,San Diego,San Diego,Reno,Reno,exercise science,hareket,entertainment,eğlence,turkish_like,rare,4473,low,low,low,low,low,low,A
R01148,S01148,Ferdi Sayın,Investment banker,Yatırım bankacısı,Glendale,Glendale,Los Angeles,Los Angeles,marketing,pazarlama,research,bilim,turkish_like,common,1313,medium,medium,low,low,medium,medium,A
R01149,S01149,Songül Yüksel,Flight attendant,Kabin memuru,Indianapolis,Indianapolis,Dallas,Dallas,diplomacy,diplomasi,waste,atık,turkish_like,common,2696,low,low,low,low,low,low,B
R01150,S01150,Bess Lassiter,Dietitian,Diyetisyen,Long Beach,Long Beach,Louisville/Jefferson County,Louisville/Jefferson County,medicine,tıp,trade,ticaret,english_like,medium,3285,low,low,low,low,low,low,B
R01151,S01151,Mirabel Cabrera,Radio presenter,Radyo sunucusu,Balikesir,Balıkesir,Bursa,Bursa,mechanics,mekanik,security,güvenlik,english_like,medium,2643,low,low,low,low,low,low,B
R01152,S01152,Adara Wheeler,Scientist,Bilim insanı,Lexington-Fayette,Lexington-Fayette,New York,New York,business,işletme,property,emlak,english_like,common,397,high,high,medium,medium,high,high,B
R01153,S01153,Özkan Dursun,Politician,Politikacı,Jersey City,Jersey City,Baltimore,Baltimore,electricity,elektrik,space,uzay,turkish_like,rare,181,high,high,medium,medium,high,high,A
R01154,S01154,Marena Leal,Event planner,Etkinlik organizatörü,Balikesir,Balıkesir,New Orleans,New Orleans,mechanics,mekanik,recreation,egzersiz,english_like,rare,2961,low,low,low,low,low,low,A
R01155,S01155,Abdülkadir Karapıçak,Sports commentator,Spor yorumcusu,Irving,Irving,Konya,Konya,pharmacy,ilaç,accounting,muhasebe,turkish_like,rare,3294,low,low,low,low,low,low,B
R01156,S01156,Meghan Nash,Television presenter,Televizyon sunucusu,Istanbul,İstanbul,Balikesir,Balıkesir,design,dizayn,retail,perakende,english_like,medium,307,high,high,medium,medium,high,high,A
R01157,S01157,Gülname Duman,Comedian,Komedyen,Albuquerque,Albuquerque,Boston,Boston,film studies,sinema,railways,demiryolu,turkish_like,medium,600,medium,medium,low,low,medium,medium,B
R01158,S01158,Hamza Örnek,Store manager,Mağaza müdürü,Tampa,Tampa,St. Petersburg,St. Petersburg,communication,medya,logistics,lojistik,turkish_like,medium,3166,low,low,low,low,low,low,A
R01159,S01159,Viola Samuel,Fashion stylist,Moda stilisti,Fresno,Fresno,Chicago,Chicago,data analytics,veri bilimi,communications,telekom,english_like,rare,2587,low,low,low,low,low,low,B
R01160,S01160,Ersen Sever,Social media influencer,Sosyal medya fenomeni,Sakarya,Sakarya,Istanbul,İstanbul,medicine,tıp,textiles,tekstil,turkish_like,medium,265,high,high,medium,medium,high,high,B
R01161,S01161,Vinny Stevens,Police officer,Polis memuru,Chicago,Chicago,Columbus,Columbus,teaching,didaktik,electrical,elektrik,english_like,medium,576,medium,medium,low,low,medium,medium,A
R01162,S01162,İlker Şengül,Veterinarian,Veteriner,El Paso,El Paso,Fresno,Fresno,quantitative methods,matematik,healthcare,tıp,turkish_like,medium,1038,medium,medium,low,low,medium,medium,A
R01163,S01163,Aslan Kocubeyoğlu,Film director,Film yönetmeni,Columbus,Columbus,Istanbul,İstanbul,fiscal studies,maliye,hotels,otel,turkish_like,rare,694,medium,medium,low,low,medium,medium,A
R01164,S01164,Semra Kuşku,Tax specialist,Vergi uzmanı,Van,Van,Gaziantep,Gaziantep,philosophy,felsefe,architecture,mimarlık,turkish_like,common,4105,low,low,low,low,low,low,A
R01165,S01165,Belinda Reese,Judge,Hâkim,San Francisco,San Francisco,San Diego,San Diego,architecture,mimarlık,architecture,mimarlık,english_like,common,512,medium,medium,low,low,medium,medium,B
R01166,S01166,Faruk Topçu,Boxer,Boksör,Izmir,İzmir,Kayseri,Kayseri,theatre,tiyatro,extraction,maden,turkish_like,rare,2110,low,low,low,low,low,low,A
R01167,S01167,Chrissy Bourgeois,Bus driver,Otobüs şoförü,Gilbert,Gilbert,Phoenix,Phoenix,physics,fizik,fashion,moda,english_like,rare,3874,low,low,low,low,low,low,A
R01168,S01168,Fadıl Dal,Robotics engineer,Robotik mühendisi,Diyarbakir,Diyarbakır,Mugla,Muğla,social care,bakım,chemicals,kimya,turkish_like,common,2336,low,low,low,low,low,low,B
R01169,S01169,Nursel Çelik,Sociologist,Sosyolog,Los Angeles,Los Angeles,Irvine,Irvine,exercise science,hareket,books,yayın,turkish_like,common,4732,low,low,low,low,low,low,B
R01170,S01170,Mümtaz Çalışkantürk,Miner,Madenci,Istanbul,İstanbul,Balikesir,Balıkesir,governance,kamu,railways,demiryolu,turkish_like,common,4614,low,low,low,low,low,low,B
R01171,S01171,Levent Menekşe,Astronaut,Astronot,Gaziantep,Gaziantep,Ankara,Ankara,social care,bakım,communications,telekom,turkish_like,rare,262,high,high,medium,medium,high,high,A
R01172,S01172,Habil Öztoprak,Entrepreneur,Girişimci,St. Louis,St. Louis,Fort Worth,Fort Worth,politics,siyaset,investment,yatirim,turkish_like,medium,101,high,high,medium,medium,high,high,B
R01173,S01173,Marnie Marcum,Boxer,Boksör,Mersin,Mersin,Sanliurfa,Şanlıurfa,media studies,basın,entertainment,eğlence,english_like,rare,1936,medium,medium,low,low,medium,medium,B
R01174,S01174,Marena Shook,Astronomer,Astronom,Samsun,Samsun,Eskisehir,Eskişehir,construction,inşaat,property,emlak,english_like,rare,3727,low,low,low,low,low,low,B
R01175,S01175,Nurdan Akaslan,Basketball player,Basketbolcu,Konya,Konya,Ankara,Ankara,computing,bilişim,arts,sanat,turkish_like,common,1397,medium,medium,low,low,medium,medium,A
R01176,S01176,Nikolia Landry,Architect,Mimar,Ankara,Ankara,Malatya,Malatya,anthropology,antropoloji,fabrication,imalat,english_like,medium,967,medium,medium,low,low,medium,medium,A
R01177,S01177,Atlante Reid,Caregiver,Hasta bakıcı,Kansas City,Kansas City,Detroit,Detroit,history,tarih,tourism,turizm,english_like,common,4821,low,low,low,low,low,low,A
R01178,S01178,Chlo Deleon,Sociologist,Sosyolog,Chandler,Chandler,Fort Worth,Fort Worth,logistics,lojistik,academia,akademi,english_like,common,4477,low,low,low,low,low,low,B
R01179,S01179,Megan Metz,Police officer,Polis memuru,Columbus,Columbus,Izmir,İzmir,data analytics,veri bilimi,chemicals,kimya,english_like,rare,527,medium,medium,low,low,medium,medium,A
R01180,S01180,Hasibe Söker,Historian,Tarihçi,El Paso,El Paso,San Antonio,San Antonio,biology,biyoloji,maritime,deniz,turkish_like,common,4789,low,low,low,low,low,low,A
R01181,S01181,Diannne Montano,Mathematician,Matematikçi,Van,Van,Ankara,Ankara,fiscal studies,maliye,banking,finans,english_like,rare,3642,low,low,low,low,low,low,A
R01182,S01182,İnci Şatıroğlu,Actor,Oyuncu,Istanbul,İstanbul,Mugla,Muğla,economics,ekonomi,advertising,reklam,turkish_like,common,91,high,high,medium,medium,high,high,A
R01183,S01183,Diandra Sears,Pilot,Pilot,Sanliurfa,Şanlıurfa,Konya,Konya,dental studies,diş,construction,inşaat,english_like,medium,75,high,high,medium,medium,high,high,B
R01184,S01184,Nurdan Babacan,Economist,Ekonomist,St. Paul,St. Paul,San Diego,San Diego,management,yönetim,biotech,biyoloji,turkish_like,common,2442,low,low,low,low,low,low,B
R01185,S01185,Velat Biçer,Basketball player,Basketbolcu,Fort Worth,Fort Worth,Austin,Austin,animal care,hayvan,timber,orman,turkish_like,common,1299,medium,medium,low,low,medium,medium,A
R01186,S01186,Yetkin Camcı,Emergency medical technician,Acil tıp teknisyeni,Antalya,Antalya,Kocaeli,Kocaeli,construction,inşaat,catering,yemek,turkish_like,medium,2048,low,low,low,low,low,low,A
R01187,S01187,Jade Larsen,Football manager,Futbol teknik direktörü,Fresno,Fresno,Chicago,Chicago,forestry,ormanlar,airlines,uçuş,english_like,medium,232,high,high,medium,medium,high,high,B
R01188,S01188,Orhan Karpuzoğlu,Astronaut,Astronot,Fort Worth,Fort Worth,Chicago,Chicago,theatre,tiyatro,security,güvenlik,turkish_like,common,426,high,high,medium,medium,high,high,B
R01189,S01189,Alevtina Beyoğlu,Researcher,Araştırmacı,Minneapolis,Minneapolis,San Jose,San Jose,philosophy,felsefe,automotive,otomotiv,turkish_like,medium,2147,low,low,low,low,low,low,B
R01190,S01190,Özcan Zileligil,Film producer,Sinema yapımcısı,Irving,Irving,Stockton,Stockton,archaeology,arkeoloji,gaming,oyun,turkish_like,medium,2351,low,low,low,low,low,low,A
R01191,S01191,Miran Chambers,Chemist,Kimyager,Miami,Miami,Afyonkarahisar,Afyonkarahisar,cultural analysis,sosyal,automotive,otomotiv,english_like,medium,1461,medium,medium,low,low,medium,medium,A
R01192,S01192,Turğut Eskimez,Warehouse manager,Depo yöneticisi,Balikesir,Balıkesir,Anaheim,Anaheim,electricity,elektrik,retail,perakende,turkish_like,rare,4156,low,low,low,low,low,low,B
R01193,S01193,Başak Uruç,Film producer,Sinema yapımcısı,Tekirdag,Tekirdağ,Kayseri,Kayseri,animal care,hayvan,welfare,refah,turkish_like,medium,2434,low,low,low,low,low,low,A
R01194,S01194,Remziye Çoban,Wedding planner,Düğün planlayıcısı,Aydin,Aydın,Mardin,Mardin,business,işletme,research,bilim,turkish_like,medium,1541,medium,medium,low,low,medium,medium,A
R01195,S01195,Hayrunnisa Saral,Translator,Çevirmen,Istanbul,İstanbul,Konya,Konya,design,dizayn,maritime,deniz,turkish_like,medium,3251,low,low,low,low,low,low,B
R01196,S01196,Cemal Çoker,Air traffic controller,Hava trafik kontrolörü,Fresno,Fresno,Atlanta,Atlanta,communication,medya,biotech,biyoloji,turkish_like,rare,2934,low,low,low,low,low,low,A
R01197,S01197,Cecilla Mathews,Scientist,Bilim insanı,Hatay,Hatay,Mugla,Muğla,ecology,ekoloji,academia,akademi,english_like,common,1379,medium,medium,low,low,medium,medium,B
R01198,S01198,Martha Plummer,Entrepreneur,Girişimci,New York,New York,Scottsdale,Scottsdale,teaching,didaktik,government,kamu,english_like,medium,88,high,high,medium,medium,high,high,A
R01199,S01199,Maiga Story,Journalist,Gazeteci,Diyarbakir,Diyarbakır,Philadelphia,Philadelphia,economics,ekonomi,banking,finans,english_like,rare,896,medium,medium,low,low,medium,medium,A
R01200,S01200,Ezel Görenekli,Flight attendant,Kabin memuru,Manisa,Manisa,Toledo,Toledo,literature,edebiyat,books,yayın,turkish_like,rare,1091,medium,medium,low,low,medium,medium,A
R01201,S01201,Diana Saf,Data scientist,Veri bilimci,Adana,Adana,Ankara,Ankara,data analytics,veri bilimi,space,uzay,turkish_like,common,524,medium,medium,low,low,medium,medium,A
