subject_id,subject,block_id,field_of_study_en,field_of_study_tr,field_source_taxonomy,field_source_category,works_in_industry_en,works_in_industry_tr,industry_source_taxonomy,industry_source_category,profession_category,branch_group,name_type,name_rarity_bucket,popularity_bucket,field_seed,industry_seed,industry_repair_swaps
S01260,Irazca Özmen,B13,accounting,muhasebe,ISCED-F 2013,0411 Accounting and taxation,groceries,gıda,NACE Rev. 2.1,C10 Manufacture of food products,legal,A,turkish_like,common,high,2026071101,2026071102,6
S01261,Fulya Keklikçioğlu,B13,agriculture,tarım,ISCED-F 2013,0811 Crop and livestock production,architecture,mimarlık,NACE Rev. 2.1,M71 Architectural and engineering activities,general,B,turkish_like,medium,low,2026071101,2026071102,6
S01262,Carrissa Moses,B13,film studies,sinema,ISCED-F 2013,0211 Audio-visual techniques and media production,law,hukuk,NACE Rev. 2.1,M69 Legal and accounting activities,general,A,english_like,common,medium,2026071101,2026071102,6
S01263,Aytaç Bak,B13,medicine,tıp,ISCED-F 2013,0912 Medicine,banking,finans,NACE Rev. 2.1,K64 Financial service activities,sports,B,turkish_like,rare,medium,2026071101,2026071102,6
S01264,Aryn Miles,B13,governance,kamu,ISCED-F 2013,0413 Management and administration,insurance,sigorta,NACE Rev. 2.1,K65 Insurance and pension funding,general,B,english_like,common,low,2026071101,2026071102,6
S01265,Fatma Örenç,B13,history,tarih,ISCED-F 2013,0222 History and archaeology,railways,demiryolu,NACE Rev. 2.1,H49 Land transport,general,A,turkish_like,medium,low,2026071101,2026071102,6
S01266,Sevil Çınkır,B13,social care,bakım,ISCED-F 2013,0923 Social work and counselling,construction,inşaat,NACE Rev. 2.1,F Construction,general,A,turkish_like,common,low,2026071101,2026071102,6
S01267,Leonore Daniels,B13,construction,inşaat,ISCED-F 2013,0732 Building and civil engineering,space,uzay,NACE Rev. 2.1,C30 Manufacture of other transport equipment,general,B,english_like,medium,medium,2026071101,2026071102,6
S01268,Aysun Sayın,B13,exercise science,hareket,ISCED-F 2013,1014 Sports,pharmaceuticals,ilaç,NACE Rev. 2.1,C21 Manufacture of pharmaceutical products,general,A,turkish_like,common,low,2026071101,2026071102,6
S01269,Cevahir Yeral,B13,mechanics,mekanik,ISCED-F 2013,0715 Mechanics and metal trades,railways,demiryolu,NACE Rev. 2.1,H49 Land transport,engineering,B,turkish_like,rare,medium,2026071101,2026071102,6
S01270,Miray Selvi,B13,marketing,pazarlama,ISCED-F 2013,0414 Marketing and advertising,textiles,tekstil,NACE Rev. 2.1,C13 Manufacture of textiles,legal,B,turkish_like,common,medium,2026071101,2026071102,6
S01271,Desiri Witherspoon,B13,archaeology,arkeoloji,ISCED-F 2013,0222 History and archaeology,advertising,reklam,NACE Rev. 2.1,M73 Advertising and market research,retail,B,english_like,rare,low,2026071101,2026071102,6
S01272,Clari Stubbs,B13,tourism,turizm,ISCED-F 2013,1015 Travel tourism and leisure,biotech,biyoloji,NACE Rev. 2.1,M72 Scientific research and development,entertainment,B,english_like,medium,high,2026071101,2026071102,6
S01273,Babara Hill,B13,software,programlama,ISCED-F 2013,0613 Software and applications development,accounting,muhasebe,NACE Rev. 2.1,M69 Legal and accounting activities,entertainment,A,english_like,common,medium,2026071101,2026071102,6
S01274,Yücel Akkoyun,B13,media studies,basın,ISCED-F 2013,0321 Journalism and reporting,communications,telekom,NACE Rev. 2.1,J61 Telecommunications,general,B,turkish_like,medium,low,2026071101,2026071102,6
S01275,Lilas Mcrae,B13,design,dizayn,ISCED-F 2013,0212 Fashion interior and industrial design,extraction,maden,NACE Rev. 2.1,B Mining and quarrying,general,B,english_like,rare,low,2026071101,2026071102,6
S01276,Diandra Crews,B13,exercise science,hareket,ISCED-F 2013,1014 Sports,engineering,teknik,NACE Rev. 2.1,M71 Architectural and engineering activities,sports,A,english_like,medium,high,2026071101,2026071102,6
S01277,Coleen Reese,B13,teaching,didaktik,ISCED-F 2013,0111 Education science,recreation,egzersiz,NACE Rev. 2.1,R93 Sports activities,general,B,english_like,common,medium,2026071101,2026071102,6
S01278,Bebe Bower,B13,theatre,tiyatro,ISCED-F 2013,0215 Music and performing arts,architecture,mimarlık,NACE Rev. 2.1,M71 Architectural and engineering activities,sports,B,english_like,medium,high,2026071101,2026071102,6
S01279,Duran Sulhan,B13,statistics,istatistik,ISCED-F 2013,0542 Statistics,energy,enerji,NACE Rev. 2.1,D Electricity gas steam and air conditioning supply,sports,B,turkish_like,medium,low,2026071101,2026071102,6
S01280,Ural Fişekci,B13,history,tarih,ISCED-F 2013,0222 History and archaeology,academia,akademi,NACE Rev. 2.1,P Education,sports,A,turkish_like,medium,medium,2026071101,2026071102,6
S01281,Ayşegül Savaş,B13,anthropology,antropoloji,ISCED-F 2013,0314 Sociology and cultural studies,healthcare,tıp,NACE Rev. 2.1,Q Human health and social work activities,logistics,B,turkish_like,common,low,2026071101,2026071102,6
S01282,Aysun Azak,B13,economics,ekonomi,ISCED-F 2013,0311 Economics,security,güvenlik,NACE Rev. 2.1,N80 Security and investigation activities,hospitality,A,turkish_like,common,low,2026071101,2026071102,6
S01283,Marcella Herrera,B13,management,yönetim,ISCED-F 2013,0413 Management and administration,entertainment,eğlence,NACE Rev. 2.1,R90 Creative arts and entertainment,general,A,english_like,medium,low,2026071101,2026071102,6
S01284,Catharina York,B13,communication,medya,ISCED-F 2013,0321 Journalism and reporting,banking,finans,NACE Rev. 2.1,K64 Financial service activities,general,B,english_like,common,low,2026071101,2026071102,6
S01285,Şule Aktuğ,B13,governance,kamu,ISCED-F 2013,0413 Management and administration,maritime,deniz,NACE Rev. 2.1,H50 Water transport,sports,A,turkish_like,rare,medium,2026071101,2026071102,6
S01286,Annice Morrow,B13,geography,coğrafya,ISCED-F 2013,0532 Earth sciences,trade,ticaret,NACE Rev. 2.1,G46 Wholesale trade,healthcare,A,english_like,common,low,2026071101,2026071102,6
S01287,Tansu Güngörmez,B13,theatre,tiyatro,ISCED-F 2013,0215 Music and performing arts,property,emlak,NACE Rev. 2.1,L Real estate activities,general,A,turkish_like,medium,low,2026071101,2026071102,6
S01288,Nazım Yenidünya,B13,economics,ekonomi,ISCED-F 2013,0311 Economics,investment,yatirim,NACE Rev. 2.1,K66 Activities auxiliary to financial services,general,B,turkish_like,common,low,2026071101,2026071102,6
S01289,Cati Grimes,B13,cultural analysis,sosyal,ISCED-F 2013,0314 Sociology and cultural studies,communications,telekom,NACE Rev. 2.1,J61 Telecommunications,general,B,english_like,common,low,2026071101,2026071102,6
S01290,Tessa Orr,B13,communication,medya,ISCED-F 2013,0321 Journalism and reporting,extraction,maden,NACE Rev. 2.1,B Mining and quarrying,entertainment,B,english_like,rare,medium,2026071101,2026071102,6
S01291,Tamar Mcelroy,B13,logistics,lojistik,ISCED-F 2013,1041 Transport services,investment,yatirim,NACE Rev. 2.1,K66 Activities auxiliary to financial services,entertainment,A,english_like,rare,medium,2026071101,2026071102,6
S01292,Nurdan Selvioğlu,B13,business,işletme,ISCED-F 2013,0410 Business and administration,automotive,otomotiv,NACE Rev. 2.1,C29 Manufacture of motor vehicles,general,A,turkish_like,rare,low,2026071101,2026071102,6
S01293,Bonny Mccarthy,B13,fiscal studies,maliye,ISCED-F 2013,0412 Finance banking and insurance,consulting,strateji,NACE Rev. 2.1,M70 Management consultancy activities,logistics,B,english_like,common,medium,2026071101,2026071102,6
S01294,Beitris Knight,B13,dental studies,diş,ISCED-F 2013,0911 Dental studies,airlines,uçuş,NACE Rev. 2.1,H51 Air transport,manual_labor,A,english_like,common,low,2026071101,2026071102,6
S01295,Cherice Hoover,B13,fiscal studies,maliye,ISCED-F 2013,0412 Finance banking and insurance,chemicals,kimya,NACE Rev. 2.1,C20 Manufacture of chemicals,general,B,english_like,common,medium,2026071101,2026071102,6
S01296,Ramonda Mcqueen,B13,management,yönetim,ISCED-F 2013,0413 Management and administration,books,yayın,NACE Rev. 2.1,J58 Publishing activities,public_service,A,english_like,rare,medium,2026071101,2026071102,6
S01297,Lauree Solis,B13,biology,biyoloji,ISCED-F 2013,0511 Biology,government,kamu,NACE Rev. 2.1,O Public administration and defence,general,A,english_like,medium,low,2026071101,2026071102,6
S01298,Lindsy Metcalf,B13,nursing,hemşirelik,ISCED-F 2013,0913 Nursing and midwifery,software,teknoloji,NACE Rev. 2.1,J62 Computer programming and consultancy,entertainment,A,english_like,rare,medium,2026071101,2026071102,6
S01299,Zuhal Özkurt,B13,design,dizayn,ISCED-F 2013,0212 Fashion interior and industrial design,government,kamu,NACE Rev. 2.1,O Public administration and defence,general,A,turkish_like,rare,medium,2026071101,2026071102,6
S01300,Ayşe Çakır,B13,politics,siyaset,ISCED-F 2013,0312 Political sciences and civics,pharmaceuticals,ilaç,NACE Rev. 2.1,C21 Manufacture of pharmaceutical products,engineering,B,turkish_like,medium,low,2026071101,2026071102,6
S01301,Scarlet Brantley,B14,economics,ekonomi,ISCED-F 2013,0311 Economics,railways,demiryolu,NACE Rev. 2.1,H49 Land transport,sports,B,english_like,rare,low,2026071101,2026071102,6
S01302,Hidayet Özdoğan,B14,nursing,hemşirelik,ISCED-F 2013,0913 Nursing and midwifery,entertainment,eğlence,NACE Rev. 2.1,R90 Creative arts and entertainment,hospitality,A,turkish_like,medium,low,2026071101,2026071102,6
S01303,Berti Stevens,B14,business,işletme,ISCED-F 2013,0410 Business and administration,healthcare,tıp,NACE Rev. 2.1,Q Human health and social work activities,sports,B,english_like,common,medium,2026071101,2026071102,6
S01304,Mame Eaton,B14,pharmacy,ilaç,ISCED-F 2013,0916 Pharmacy,textiles,tekstil,NACE Rev. 2.1,C13 Manufacture of textiles,general,A,english_like,medium,medium,2026071101,2026071102,6
S01305,Abbi Brand,B14,software,programlama,ISCED-F 2013,0613 Software and applications development,electrical,elektrik,NACE Rev. 2.1,C26 Manufacture of computer electronic and optical products,general,A,english_like,medium,medium,2026071101,2026071102,6
S01306,Güliz İlgün,B14,law,hukuk,ISCED-F 2013,0421 Law,groceries,gıda,NACE Rev. 2.1,C10 Manufacture of food products,general,A,turkish_like,common,low,2026071101,2026071102,6
S01307,Burcu Eyisoy,B14,software,programlama,ISCED-F 2013,0613 Software and applications development,farming,tarım,NACE Rev. 2.1,A Agriculture forestry and fishing,general,B,turkish_like,medium,low,2026071101,2026071102,6
S01308,Dion Ziegler,B14,law,hukuk,ISCED-F 2013,0421 Law,timber,orman,NACE Rev. 2.1,A Agriculture forestry and fishing,engineering,B,english_like,rare,high,2026071101,2026071102,6
S01309,Catherina Jacobs,B14,ecology,ekoloji,ISCED-F 2013,0521 Environmental sciences,catering,yemek,NACE Rev. 2.1,I56 Food and beverage service activities,general,A,english_like,common,low,2026071101,2026071102,6
S01310,Cherish Blackmon,B14,music,müzik,ISCED-F 2013,0215 Music and performing arts,textiles,tekstil,NACE Rev. 2.1,C13 Manufacture of textiles,research,B,english_like,medium,low,2026071101,2026071102,6
S01311,Antonietta Oconnor,B14,linguistics,dilbilim,ISCED-F 2013,0232 Literature and linguistics,construction,inşaat,NACE Rev. 2.1,F Construction,manual_labor,B,english_like,common,low,2026071101,2026071102,6
S01312,Belia Rogers,B14,geography,coğrafya,ISCED-F 2013,0532 Earth sciences,timber,orman,NACE Rev. 2.1,A Agriculture forestry and fishing,general,B,english_like,common,low,2026071101,2026071102,6
S01313,Merve Mağatur,B14,teaching,didaktik,ISCED-F 2013,0111 Education science,entertainment,eğlence,NACE Rev. 2.1,R90 Creative arts and entertainment,sports,B,turkish_like,rare,high,2026071101,2026071102,6
S01314,Birsen Belgemen,B14,diplomacy,diplomasi,ISCED-F 2013,0312 Political sciences and civics,accounting,muhasebe,NACE Rev. 2.1,M69 Legal and accounting activities,general,B,turkish_like,common,low,2026071101,2026071102,6
S01315,Nizamettin Ülgen,B14,tourism,turizm,ISCED-F 2013,1015 Travel tourism and leisure,logistics,lojistik,NACE Rev. 2.1,H52 Warehousing and support activities for transportation,general,A,turkish_like,medium,low,2026071101,2026071102,6
S01316,Leone Jolly,B14,politics,siyaset,ISCED-F 2013,0312 Political sciences and civics,arts,sanat,NACE Rev. 2.1,R90 Creative arts and entertainment,entertainment,A,english_like,rare,medium,2026071101,2026071102,6
S01317,Nicoline Goins,B14,music,müzik,ISCED-F 2013,0215 Music and performing arts,gaming,oyun,NACE Rev. 2.1,J58 Publishing of computer games,general,B,english_like,rare,medium,2026071101,2026071102,6
S01318,Ertan Özdemir,B14,management,yönetim,ISCED-F 2013,0413 Management and administration,waste,atık,NACE Rev. 2.1,E38 Waste collection treatment and materials recovery,logistics,B,turkish_like,medium,low,2026071101,2026071102,6
S01319,Hasan İnan,B14,literature,edebiyat,ISCED-F 2013,0232 Literature and linguistics,consulting,strateji,NACE Rev. 2.1,M70 Management consultancy activities,general,A,turkish_like,medium,low,2026071101,2026071102,6
S01320,Jaine John,B14,exercise science,hareket,ISCED-F 2013,1014 Sports,communications,telekom,NACE Rev. 2.1,J61 Telecommunications,healthcare,B,english_like,medium,medium,2026071101,2026071102,6
S01321,Senem Sayın,B14,archaeology,arkeoloji,ISCED-F 2013,0222 History and archaeology,software,teknoloji,NACE Rev. 2.1,J62 Computer programming and consultancy,general,B,turkish_like,common,medium,2026071101,2026071102,6
S01322,Carri Quinn,B14,forestry,ormanlar,ISCED-F 2013,0821 Forestry,research,bilim,NACE Rev. 2.1,M72 Scientific research and development,entertainment,A,english_like,common,medium,2026071101,2026071102,6
S01323,Hasret Atik,B14,physics,fizik,ISCED-F 2013,0533 Physics,chemicals,kimya,NACE Rev. 2.1,C20 Manufacture of chemicals,construction,B,turkish_like,medium,low,2026071101,2026071102,6
S01324,İpek Alparslan,B14,architecture,mimarlık,ISCED-F 2013,0731 Architecture and town planning,pharmaceuticals,ilaç,NACE Rev. 2.1,C21 Manufacture of pharmaceutical products,logistics,B,turkish_like,rare,high,2026071101,2026071102,6
S01325,Sema Yaman,B14,electricity,elektrik,ISCED-F 2013,0713 Electricity and energy,security,güvenlik,NACE Rev. 2.1,N80 Security and investigation activities,engineering,A,turkish_like,common,low,2026071101,2026071102,6
S01326,Hümeyra Gümüş,B14,geography,coğrafya,ISCED-F 2013,0532 Earth sciences,academia,akademi,NACE Rev. 2.1,P Education,entertainment,B,turkish_like,medium,high,2026071101,2026071102,6
S01327,Bethina Lang,B14,cultural analysis,sosyal,ISCED-F 2013,0314 Sociology and cultural studies,biotech,biyoloji,NACE Rev. 2.1,M72 Scientific research and development,public_service,A,english_like,common,medium,2026071101,2026071102,6
S01328,Zerrin Akçay,B14,psychology,psikoloji,ISCED-F 2013,0313 Psychology,biotech,biyoloji,NACE Rev. 2.1,M72 Scientific research and development,manual_labor,B,turkish_like,rare,low,2026071101,2026071102,6
S01329,Zerrin Olmaz,B14,philosophy,felsefe,ISCED-F 2013,0223 Philosophy and ethics,infrastructure,altyapı,NACE Rev. 2.1,D-E Utilities and waste services,engineering,B,turkish_like,common,low,2026071101,2026071102,6
S01330,Burcu Azap,B14,ecology,ekoloji,ISCED-F 2013,0521 Environmental sciences,recreation,egzersiz,NACE Rev. 2.1,R93 Sports activities,media,A,turkish_like,medium,low,2026071101,2026071102,6
S01331,Stormie Pool,B14,quantitative methods,matematik,ISCED-F 2013,0541 Mathematics,railways,demiryolu,NACE Rev. 2.1,H49 Land transport,healthcare,A,english_like,rare,medium,2026071101,2026071102,6
S01332,Teirtza Lang,B14,tourism,turizm,ISCED-F 2013,1015 Travel tourism and leisure,electrical,elektrik,NACE Rev. 2.1,C26 Manufacture of computer electronic and optical products,engineering,A,english_like,rare,low,2026071101,2026071102,6
S01333,Tessy Hathaway,B14,anthropology,antropoloji,ISCED-F 2013,0314 Sociology and cultural studies,gaming,oyun,NACE Rev. 2.1,J58 Publishing of computer games,general,A,english_like,rare,high,2026071101,2026071102,6
S01334,Mellisent Sheehan,B14,physics,fizik,ISCED-F 2013,0533 Physics,banking,finans,NACE Rev. 2.1,K64 Financial service activities,entertainment,A,english_like,medium,low,2026071101,2026071102,6
S01335,Nebil Karahan,B14,statistics,istatistik,ISCED-F 2013,0542 Statistics,catering,yemek,NACE Rev. 2.1,I56 Food and beverage service activities,general,B,turkish_like,medium,low,2026071101,2026071102,6
S01336,Ceyhan Başkan,B14,philosophy,felsefe,ISCED-F 2013,0223 Philosophy and ethics,software,teknoloji,NACE Rev. 2.1,J62 Computer programming and consultancy,general,A,turkish_like,common,medium,2026071101,2026071102,6
S01337,İshak Celtemen,B14,fiscal studies,maliye,ISCED-F 2013,0412 Finance banking and insurance,extraction,maden,NACE Rev. 2.1,B Mining and quarrying,finance,A,turkish_like,rare,low,2026071101,2026071102,6
S01338,Concettina Ali,B14,literature,edebiyat,ISCED-F 2013,0232 Literature and linguistics,advertising,reklam,NACE Rev. 2.1,M73 Advertising and market research,sports,A,english_like,rare,medium,2026071101,2026071102,6
S01339,Leziz Duman,B14,cultural analysis,sosyal,ISCED-F 2013,0314 Sociology and cultural studies,property,emlak,NACE Rev. 2.1,L Real estate activities,entertainment,B,turkish_like,common,high,2026071101,2026071102,6
S01340,Oğuz Korkmaz,B14,architecture,mimarlık,ISCED-F 2013,0731 Architecture and town planning,fabrication,imalat,NACE Rev. 2.1,C Manufacturing,general,A,turkish_like,medium,low,2026071101,2026071102,6
S01341,Demet Yağlı,B14,media studies,basın,ISCED-F 2013,0321 Journalism and reporting,architecture,mimarlık,NACE Rev. 2.1,M71 Architectural and engineering activities,finance,A,turkish_like,rare,medium,2026071101,2026071102,6
S01342,Gülhanım Özüak,B14,computing,bilişim,ISCED-F 2013,0613 Software and applications development,farming,tarım,NACE Rev. 2.1,A Agriculture forestry and fishing,general,A,turkish_like,medium,medium,2026071101,2026071102,6
S01343,Sinem Issı,B14,exercise science,hareket,ISCED-F 2013,1014 Sports,consulting,strateji,NACE Rev. 2.1,M70 Management consultancy activities,finance,B,turkish_like,rare,low,2026071101,2026071102,6
S01344,Sevgül Köse,B14,linguistics,dilbilim,ISCED-F 2013,0232 Literature and linguistics,automotive,otomotiv,NACE Rev. 2.1,C29 Manufacture of motor vehicles,public_service,A,turkish_like,common,medium,2026071101,2026071102,6
S01345,Sema Pirim,B14,biology,biyoloji,ISCED-F 2013,0511 Biology,extraction,maden,NACE Rev. 2.1,B Mining and quarrying,research,B,turkish_like,common,medium,2026071101,2026071102,6
S01346,Ahmetcan Hepkaya,B14,forestry,ormanlar,ISCED-F 2013,0821 Forestry,fashion,moda,NACE Rev. 2.1,C14 Manufacture of wearing apparel,general,B,turkish_like,medium,low,2026071101,2026071102,6
S01347,Meryem Sakallı,B14,data analytics,veri bilimi,ISCED-F 2013,0613 Software and applications development,fabrication,imalat,NACE Rev. 2.1,C Manufacturing,administration,A,turkish_like,rare,low,2026071101,2026071102,6
S01348,Sonay Susam,B14,chemistry,kimya,ISCED-F 2013,0531 Chemistry,recreation,egzersiz,NACE Rev. 2.1,R93 Sports activities,healthcare,B,turkish_like,rare,medium,2026071101,2026071102,6
S01349,Nagihan Eroğlu,B14,archaeology,arkeoloji,ISCED-F 2013,0222 History and archaeology,space,uzay,NACE Rev. 2.1,C30 Manufacture of other transport equipment,healthcare,A,turkish_like,common,high,2026071101,2026071102,6
S01350,Faik Selvan,B14,animal care,hayvan,ISCED-F 2013,0841 Veterinary,airlines,uçuş,NACE Rev. 2.1,H51 Air transport,general,A,turkish_like,rare,low,2026071101,2026071102,6
S01351,Serkan Yadigaroğlu,B14,construction,inşaat,ISCED-F 2013,0732 Building and civil engineering,chemicals,kimya,NACE Rev. 2.1,C20 Manufacture of chemicals,sports,B,turkish_like,common,low,2026071101,2026071102,6
S01352,Robinette Mccarthy,B14,electricity,elektrik,ISCED-F 2013,0713 Electricity and energy,welfare,refah,NACE Rev. 2.1,Q88 Social work activities,general,B,english_like,medium,low,2026071101,2026071102,6
S01353,Gülname Asena,B14,data analytics,veri bilimi,ISCED-F 2013,0613 Software and applications development,media,medya,NACE Rev. 2.1,J60 Programming and broadcasting,sports,B,turkish_like,medium,medium,2026071101,2026071102,6
S01354,Cemal Bayraktaroğlu,B14,governance,kamu,ISCED-F 2013,0413 Management and administration,healthcare,tıp,NACE Rev. 2.1,Q Human health and social work activities,media,A,turkish_like,rare,low,2026071101,2026071102,6
S01355,Rezzan Fırat,B14,psychology,psikoloji,ISCED-F 2013,0313 Psychology,communications,telekom,NACE Rev. 2.1,J61 Telecommunications,sports,A,turkish_like,medium,low,2026071101,2026071102,6
S01356,Sephira Nolan,B14,nursing,hemşirelik,ISCED-F 2013,0913 Nursing and midwifery,infrastructure,altyapı,NACE Rev. 2.1,D-E Utilities and waste services,general,A,english_like,rare,low,2026071101,2026071102,6
S01357,Martica Burt,B14,medicine,tıp,ISCED-F 2013,0912 Medicine,insurance,sigorta,NACE Rev. 2.1,K65 Insurance and pension funding,general,A,english_like,medium,low,2026071101,2026071102,6
S01358,Diana Elverdi,B14,politics,siyaset,ISCED-F 2013,0312 Political sciences and civics,energy,enerji,NACE Rev. 2.1,D Electricity gas steam and air conditioning supply,general,A,turkish_like,common,medium,2026071101,2026071102,6
S01359,Zühal Çelik,B14,chemistry,kimya,ISCED-F 2013,0531 Chemistry,arts,sanat,NACE Rev. 2.1,R90 Creative arts and entertainment,general,A,turkish_like,common,low,2026071101,2026071102,6
S01360,Clarissa Mansfield,B14,social care,bakım,ISCED-F 2013,0923 Social work and counselling,architecture,mimarlık,NACE Rev. 2.1,M71 Architectural and engineering activities,general,A,english_like,medium,low,2026071101,2026071102,6
S01361,Öztan Görkem,B14,computing,bilişim,ISCED-F 2013,0613 Software and applications development,banking,finans,NACE Rev. 2.1,K64 Financial service activities,logistics,B,turkish_like,rare,high,2026071101,2026071102,6
S01362,Ebru Ayhan,B14,pharmacy,ilaç,ISCED-F 2013,0916 Pharmacy,fashion,moda,NACE Rev. 2.1,C14 Manufacture of wearing apparel,entertainment,B,turkish_like,common,high,2026071101,2026071102,6
S01363,Sari Morrison,B14,governance,kamu,ISCED-F 2013,0413 Management and administration,books,yayın,NACE Rev. 2.1,J58 Publishing activities,general,B,english_like,medium,medium,2026071101,2026071102,6
S01364,Fikri Sobay,B14,business,işletme,ISCED-F 2013,0410 Business and administration,media,medya,NACE Rev. 2.1,J60 Programming and broadcasting,finance,B,turkish_like,rare,low,2026071101,2026071102,6
S01365,Sinem Özaslan,B14,medicine,tıp,ISCED-F 2013,0912 Medicine,engineering,teknik,NACE Rev. 2.1,M71 Architectural and engineering activities,entertainment,A,turkish_like,rare,medium,2026071101,2026071102,6
S01366,Halil Yenidoğan,B14,mechanics,mekanik,ISCED-F 2013,0715 Mechanics and metal trades,hotels,otel,NACE Rev. 2.1,I Accommodation and food service activities,logistics,B,turkish_like,common,low,2026071101,2026071102,6
S01367,Bonita Manning,B14,logistics,lojistik,ISCED-F 2013,1041 Transport services,advertising,reklam,NACE Rev. 2.1,M73 Advertising and market research,general,A,english_like,common,low,2026071101,2026071102,6
S01368,Özgür Sari,B14,quantitative methods,matematik,ISCED-F 2013,0541 Mathematics,pharmaceuticals,ilaç,NACE Rev. 2.1,C21 Manufacture of pharmaceutical products,sports,A,turkish_like,common,low,2026071101,2026071102,6
S01369,Ziya Aktuğ,B14,accounting,muhasebe,ISCED-F 2013,0411 Accounting and taxation,law,hukuk,NACE Rev. 2.1,M69 Legal and accounting activities,general,B,turkish_like,medium,low,2026071101,2026071102,6
S01370,Şebnem Oflaz,B14,communication,medya,ISCED-F 2013,0321 Journalism and reporting,books,yayın,NACE Rev. 2.1,J58 Publishing activities,logistics,A,turkish_like,medium,low,2026071101,2026071102,6
S01371,Charyl Briggs,B14,agriculture,tarım,ISCED-F 2013,0811 Crop and livestock production,retail,perakende,NACE Rev. 2.1,G47 Retail trade,general,A,english_like,common,low,2026071101,2026071102,6
S01372,Kıymet Atmış,B14,dental studies,diş,ISCED-F 2013,0911 Dental studies,hotels,otel,NACE Rev. 2.1,I Accommodation and food service activities,sports,A,turkish_like,rare,low,2026071101,2026071102,6
S01373,Selçuk Bozkurt,B14,history,tarih,ISCED-F 2013,0222 History and archaeology,research,bilim,NACE Rev. 2.1,M72 Scientific research and development,logistics,B,turkish_like,common,low,2026071101,2026071102,6
S01374,Arabela Cohen,B14,animal care,hayvan,ISCED-F 2013,0841 Veterinary,trade,ticaret,NACE Rev. 2.1,G46 Wholesale trade,general,B,english_like,common,medium,2026071101,2026071102,6
S01375,Sultan Yenin,B14,film studies,sinema,ISCED-F 2013,0211 Audio-visual techniques and media production,waste,atık,NACE Rev. 2.1,E38 Waste collection treatment and materials recovery,general,A,turkish_like,common,low,2026071101,2026071102,6
S01376,Manda Leonard,B14,marketing,pazarlama,ISCED-F 2013,0414 Marketing and advertising,retail,perakende,NACE Rev. 2.1,G47 Retail trade,education,A,english_like,medium,low,2026071101,2026071102,6
S01377,Koray Karakum,B14,construction,inşaat,ISCED-F 2013,0732 Building and civil engineering,welfare,refah,NACE Rev. 2.1,Q88 Social work activities,general,A,turkish_like,common,low,2026071101,2026071102,6
S01378,Osman Yalçın,B14,fiscal studies,maliye,ISCED-F 2013,0412 Finance banking and insurance,engineering,teknik,NACE Rev. 2.1,M71 Architectural and engineering activities,education,A,turkish_like,common,high,2026071101,2026071102,6
S01379,Concettina Wise,B14,film studies,sinema,ISCED-F 2013,0211 Audio-visual techniques and media production,automotive,otomotiv,NACE Rev. 2.1,C29 Manufacture of motor vehicles,education,B,english_like,common,medium,2026071101,2026071102,6
S01380,Constanta Cote,B14,accounting,muhasebe,ISCED-F 2013,0411 Accounting and taxation,accounting,muhasebe,NACE Rev. 2.1,M69 Legal and accounting activities,construction,B,english_like,medium,low,2026071101,2026071102,6
S01381,Bibi Babcock,B14,mechanics,mekanik,ISCED-F 2013,0715 Mechanics and metal trades,government,kamu,NACE Rev. 2.1,O Public administration and defence,sports,A,english_like,medium,high,2026071101,2026071102,6
S01382,Melita Nguyen,B14,media studies,basın,ISCED-F 2013,0321 Journalism and reporting,energy,enerji,NACE Rev. 2.1,D Electricity gas steam and air conditioning supply,general,A,english_like,medium,low,2026071101,2026071102,6
S01383,Brana Ritter,B14,management,yönetim,ISCED-F 2013,0413 Management and administration,airlines,uçuş,NACE Rev. 2.1,H51 Air transport,sports,A,english_like,medium,medium,2026071101,2026071102,6
S01384,Vonny Myers,B14,history,tarih,ISCED-F 2013,0222 History and archaeology,investment,yatirim,NACE Rev. 2.1,K66 Activities auxiliary to financial services,general,B,english_like,medium,low,2026071101,2026071102,6
S01385,Özden Ararat,B14,economics,ekonomi,ISCED-F 2013,0311 Economics,tourism,turizm,NACE Rev. 2.1,N79 Travel agency and tour operator activities,general,A,turkish_like,medium,medium,2026071101,2026071102,6
S01386,Yunus Kıraç,B14,diplomacy,diplomasi,ISCED-F 2013,0312 Political sciences and civics,law,hukuk,NACE Rev. 2.1,M69 Legal and accounting activities,education,B,turkish_like,rare,low,2026071101,2026071102,6
S01387,Cherin Wagner,B14,anthropology,antropoloji,ISCED-F 2013,0314 Sociology and cultural studies,tourism,turizm,NACE Rev. 2.1,N79 Travel agency and tour operator activities,manual_labor,A,english_like,common,low,2026071101,2026071102,6
S01388,Demet Saygın,B14,dental studies,diş,ISCED-F 2013,0911 Dental studies,trade,ticaret,NACE Rev. 2.1,G46 Wholesale trade,engineering,B,turkish_like,common,low,2026071101,2026071102,6
S01389,Bobbee Keen,B14,agriculture,tarım,ISCED-F 2013,0811 Crop and livestock production,security,güvenlik,NACE Rev. 2.1,N80 Security and investigation activities,manual_labor,B,english_like,medium,low,2026071101,2026071102,6
S01390,Marcille Villegas,B14,social care,bakım,ISCED-F 2013,0923 Social work and counselling,academia,akademi,NACE Rev. 2.1,P Education,general,B,english_like,rare,high,2026071101,2026071102,6
